BOM_KEY,手配号機,PBS部品番号,PBS部品名称,SEG,部品番号,部品名称,Gen,△,SHOP,P／T,EC,QTY,OS_ID,オーダー,ST,仕掛SHOP,着手実績,完了実績,計画納期,小日程MND,所内部品工程,滞留日数（DAYNO）,計画納期識別,完了済識別,再来月まで（着手）,今月まで（着手）,先月まで（着手）,着手個数,SIG（着手）,再来月まで,今月まで,先月まで,完成個数,SIG,見通し,対策,コメント,内作子部品ショーテージ
"TJ-AA",5056,"V38B55204-101","","770","V38B55114-111","MANIFOLD ASSY",1,"I1","8A40","","L1",1,"X000679827","A681401","G","8280",,,"2026-12","",0,"","","未",19,16,16,32,"青",19,16,16,32,"青","","","",""
"TJ-AA",5057,"V38B55204-101","","770","V38B55114-111","MANIFOLD ASSY",1,"I1","8A40","","L1",1,"X000679827","A681401","G","8280",,,"2026-12","",0,"","","未",19,16,16,32,"青",19,16,16,32,"青","","","",""
"TJ-AA",5058,"V38B55204-101","","770","V38B55114-111","MANIFOLD ASSY",1,"I1","8A40","","L1",1,"X000679827","A681401","G","8280",,,"2026-12","",0,"","","未",19,16,16,32,"青",19,16,16,32,"青","","","",""
"TJ-AA",5059,"V38B55204-101","","770","V38B55114-111","MANIFOLD ASSY",1,"I1","8A40","","L1",1,"X000679827","A681401","G","8280",,,"2026-12","",0,"","","未",19,16,16,32,"青",19,16,16,32,"青","","","",""
"TJ-AA",5060,"V38B55204-101","","770","V38B55114-111","MANIFOLD ASSY",1,"I1","8A40","","L1",1,"X000679828","A681401","G","8280",,,"2027-02","",0,"","","未",19,16,16,32,"青",19,16,16,32,"青","","","",""
"TJ-AA",5061,"V38B55204-101","","770","V38B55114-111","MANIFOLD ASSY",1,"I1","8A40","","L1",1,"X000679828","A681401","G","8280",,,"2027-02","",0,"","","未",19,16,16,32,"青",19,16,16,32,"青","","","",""
"TJ-AA",5062,"V38B55204-101","","770","V38B55114-111","MANIFOLD ASSY",1,"I1","8A40","","L1",1,"X000679828","A681401","G","8280",,,"2027-02","",0,"","","未",19,16,16,32,"青",19,16,16,32,"青","","","",""
"TJ-AA",5063,"V38B55204-101","","770","V38B55114-111","MANIFOLD ASSY",1,"I1","8A40","","L1",1,"X000679828","A681401","G","8280",,,"2027-10","",0,"","","未",19,16,16,32,"青",19,16,16,32,"青","","","",""
"TJ-AA",5064,"V38B55204-101","","770","V38B55114-111","MANIFOLD ASSY",1,"I1","8A40","","L1",1,"X000725315","A681501","G","8280",,,"2028-03","",0,"","","未",19,16,16,32,"青",19,16,16,32,"青","","","",""
"TJ-AA",5065,"V38B55204-101","","770","V38B55114-111","MANIFOLD ASSY",1,"I1","8A40","","L1",1,"X000725316","A681501","G","8280",,,"2028-03","",0,"","","未",19,16,16,32,"青",19,16,16,32,"青","","","",""
