SHOP,JOB,作業名称,機械名称,メーカー,型式,台数,固定資産番号,備考,適用開始日,適用終了日,作成ユーザ,作成日,更新ユーザ,更新日,MHI,AEL
"7B12","0000","個別把握する検査以外の検査","","","",0,"","","2025/04/01","2999/12/31","M130559","2025/04/02 10:41:24.000","","","",""
"7M12","0000","","","","",0,"","","2020/04/01","2999/12/31","","","","","",""
"7M12","0002","非破壊検査以外の特殊工程検査","","","",0,"","","2020/04/01","2999/12/31","","","M133423","2021/03/05 07:51:06.367","",""
"7M12","0003","飛昇体電装品組立における非破壊検査","","","",0,"","","2020/04/01","2999/12/31","M133423","2021/03/05 07:49:36.000","","","",""
"7M21","0000","","","","",0,"","","2020/04/01","2999/12/31","","","","","",""
"7M21","0002","","","","",0,"","","2020/04/01","2999/12/31","","","","","",""
"7M22","0000","","","","",0,"","","2020/04/01","2999/12/31","","","","","",""
"7M22","0002","","","","",0,"","","2020/04/01","2999/12/31","","","","","",""
"7M23","0000","","","","",0,"","","2020/04/01","2999/12/31","","","","","",""
"7M23","0002","","","","",0,"","","2020/04/01","2999/12/31","","","","","",""
"7P21","0000","","","","",0,"","","2020/04/01","2999/12/31","","","","","",""
"7P21","0002","","","","",0,"","","2020/04/01","2999/12/31","","","","","",""
"7P31","0000","","","","",0,"","","2020/04/01","2999/12/31","","","","","",""
"7P31","0001","","","","",0,"","","2020/04/01","2999/12/31","","","","","",""
"7P31","0002","","","","",0,"","","2020/04/01","2999/12/31","","","","","",""
"7P32","0000","","","","",0,"","","2020/04/01","2999/12/31","","","","","",""
"7P32","0002","","","","",0,"","","2020/04/01","2999/12/31","","","","","",""
"7P32","0008","","","","",0,"","","2020/04/01","2999/12/31","","","","","",""
"7P41","0000","個別把握する検査以外の検査","","","",0,"","","2025/04/01","2999/12/31","M130559","2025/04/02 07:46:06.000","","","",""
"7P41","0002","非破壊検査以外の特殊工程検査","","","",0,"","","2025/04/01","2999/12/31","M130559","2025/11/14 10:44:16.000","","","",""
"7P42","0000","個別把握する検査以外の検査","","","",0,"","","2025/04/01","2999/12/31","M130559","2025/04/02 07:47:08.000","","","",""
"7P42","0002","非破壊検査以外の特殊工程検査","","","",0,"","","2025/04/01","2999/12/31","M130559","2025/11/14 10:47:31.000","","","",""
"7Q13","0000","個別把握する検査以外の検査","","","",0,"","","2025/04/01","2999/12/31","M130559","2025/04/02 10:24:19.000","","","",""
"7Q14","0000","個別把握する検査以外の検査","","","",0,"","","2025/04/01","2999/12/31","M130559","2025/04/02 10:00:23.000","","","",""
"7U11","0000","","","","",0,"","","2020/04/01","2999/12/31","","","","","",""
"7U11","0002","","","","",0,"","","2020/04/01","2999/12/31","","","","","",""
"8621","0009","自主検査","","","",0,"","2025年4月度の職制変更対応に伴う追加対応","2025/04/01","2999/12/31","M138854","2025/03/31 18:12:03.000","","","",""
"8621","0810","洗浄作業,脱脂作業","超音波洗浄,脱脂","","",0,"","","2026/06/19","2999/12/31","M123829","2026/06/19 09:04:07.000","","","",""
"8621","1080","個装及び梱包","個装及ぶ梱包","","",0,"","2025年4月度の職制変更対応に伴う追加対応","2025/04/01","2999/12/31","M138854","2025/03/31 18:12:03.000","","","",""
"8621","1090","発送作業","発送作業","","",0,"","2025年4月度の職制変更対応に伴う追加対応","2025/04/01","2999/12/31","M138854","2025/03/31 18:12:03.000","","","",""
"8621","6100","キット部品準備作業","キット部品","","",0,"","2025年4月度の職制変更対応に伴う追加対応","2025/04/01","2999/12/31","M138854","2025/03/31 18:12:03.000","","","",""
"8621","6900","受領","","","",0,"","2025年4月度の職制変更対応に伴う追加対応","2025/04/01","2999/12/31","M138854","2025/03/31 18:12:03.000","","","",""
"8621","9999","品確者確認","","","",0,"","2025年4月度の職制変更対応に伴う追加対応","2025/04/01","2999/12/31","M138854","2025/03/31 18:12:03.000","","","",""
"8622","0009","自主検査","","","",0,"","2025年4月度の職制変更対応に伴う追加対応","2025/04/01","2999/12/31","M138854","2025/03/31 18:12:03.000","","","",""
"8622","0124","ﾀｰﾐﾅﾙかしめ作業","ﾀｰﾐﾅﾙかしめ作業   (電装)","","",0,"","2025年4月度の職制変更対応に伴う追加対応","2025/04/01","2999/12/31","M138854","2025/03/31 18:12:03.000","","","",""
"8622","0212","ﾊﾝﾀﾞ付け作業","ﾊﾝﾀﾞ付け作業    (電装)","","",0,"","2025年4月度の職制変更対応に伴う追加対応","2025/04/01","2999/12/31","M138854","2025/03/31 18:12:03.000","","","",""
"8622","0221","ﾜｲﾔｰ・ﾊｰﾈｽ作業","ﾜｲﾔｰ･ﾊｰﾈｽ作業   (電装)","","",0,"","2025年4月度の職制変更対応に伴う追加対応","2025/04/01","2999/12/31","M138854","2025/03/31 18:12:03.000","","","",""
"8622","0222","電線保護作業","電線保護作業    (電装)","","",0,"","2025年4月度の職制変更対応に伴う追加対応","2025/04/01","2999/12/31","M138854","2025/03/31 18:12:03.000","","","",""
"8622","0261","導通試験作業","導通試験作業    (電装)","","",0,"","2025年4月度の職制変更対応に伴う追加対応","2025/04/01","2999/12/31","M138854","2025/03/31 18:12:03.000","","","",""
